companyName,contactName
"Tech Solutions SA","María González"
"Importaciones XYZ","Carlos Rodríguez"
"Logística Rápida","Ana Martínez"
"Construcciones Modernas","Pedro López"
"Distribuidora Norte","Laura Sánchez"
"Electrodomésticos Plus","Miguel Díaz"
"Consultoría Empresarial","Sofía Pérez"
"Alimentos Naturales","David Fernández"
"Automotores del Sur","Elena Ramírez"
"Textiles Creativos","Jorge Torres"
"Servicios Integrales","Carmen Ruiz"
"Inversiones Capital","Alejandro Herrera"
"Farmacia Salud","Isabel Castro"
"Turismo Aventura","Roberto Morales"
"Educación Futura","Patricia Ortega"
"Tecnología Avanzada","Daniel Silva"
"Gestión Inmobiliaria","Lucía Vargas"
"Eventos Especiales","Francisco Rojas"
"Energías Renovables","Mónica Paredes"
"Transporte Seguro","Gabriel Núñez"
