name,description
Gasolina,Gasolina Ferriquera
Diesel,Combustible diésel para motores de alto rendimiento
Kerosene,Combustible refinado para uso doméstico e industrial
Aceite de Motor,Aceite lubricante sintético de larga duración
Refrigerante,Refrigerante de motor ecológico
Grasa Industrial,Grasa lubricante para maquinaria pesada
Nafta,Combustible para automóviles de alta compresión
Etanol,Combustible biológico de base vegetal
Biodiésel,Combustible alternativo ecológico
Lubricante 2T,Lubricante para motores de dos tiempos
Gas LP,Gas licuado de petróleo envasado
Aditivo Premium,Mejorador de rendimiento de combustibles
Líquido de frenos,Líquido sintético para sistemas hidráulicos
Aceite de transmisión,Aceite de alta viscosidad para cajas automáticas
Desengrasante,Producto químico para limpieza de motores
Anticongelante,Protector contra congelamiento y corrosión
Gas Natural,Gas comprimido para automóviles
Aditivo Octanaje,Aditivo para mejorar la combustión
Aceite Hidráulico,Aceite industrial para sistemas de presión
Gasolina Premium,Gasolina de alto octanaje para motores deportivos
